id,player_id,player,direction,date,date_precision,season,club,club_id,fee_gbp,fee_raw,fee_kind,market_value_eur,type
2006-07-01-david-bellion-out,david-bellion,David Bellion,out,2006-07-01,day,2006-07,Nice,nice,,£Free,free,,permanent
2006-07-14-sylvain-ebanks-blake-out,,Sylvain Ebanks Blake,out,2006-07-14,day,2006-07,Plymouth Argyle,plymouth-argyle,200000,£200,fee,,permanent
2006-07-28-ruud-van-nistelrooy-out,ruud-van-nistelrooy,Ruud van Nistelrooy,out,2006-07-28,day,2006-07,Real Madrid CF,real-madrid-cf,10300000,£10.3m,fee,,permanent
2006-07-31-michael-carrick-in,michael-carrick,Michael Carrick,in,2006-07-31,day,2006-07,Tottenham Hotspur,tottenham-hotspur,18600000,£18.6m,fee,26500000,permanent
2006-08-10-tomasz-kuszczak-in,tomasz-kuszczak,Tomasz Kuszczak,in,2006-08-10,day,2006-07,,,,,unknown,,permanent
2006-08-31-liam-miller-out,liam-miller,Liam Miller,out,2006-08-31,day,2006-07,Sunderland,sunderland,,£Free,free,,permanent
2007-01-01-henrik-larsson-in,henrik-larsson,Henrik Larsson,in,2007-01-01,day,2006-07,,,,,unknown,,permanent
2007-01-03-david-jones-out,david-jones,David Jones,out,2007-01-03,day,2006-07,Derby County,derby-county,1000000,£1m,fee,,permanent
2007-02-14-tim-howard-out,tim-howard,Tim Howard,out,2007-02-14,day,2006-07,Everton,everton,3000000,£3m,fee,,permanent
2007-06-08-phil-marsh-out,phil-marsh,Phil Marsh,out,2007-06-08,day,2006-07,,,,,unknown,,released
2007-07-01-danny-welbeck-in,danny-welbeck,Danny Welbeck,in,2007-07-01,day,2007-08,,,,,none,,youth
2007-07-01-owen-hargreaves-in,owen-hargreaves,Owen Hargreaves,in,2007-07-01,day,2007-08,FC Bayern Munchen,fc-bayern-munchen,17000000,£17m,fee,,permanent
2007-07-01-tomasz-kuszczak-in,tomasz-kuszczak,Tomasz Kuszczak,in,2007-07-01,day,2007-08,West Bromwich Albion,west-bromwich-albion,4000000,£4m,fee,,permanent
2007-07-02-anderson-in,anderson,Anderson,in,2007-07-02,day,2007-08,FC Porto,fc-porto,20400000,£20.4m,fee,31500000,permanent
2007-07-02-nani-in,nani,Nani,in,2007-07-02,day,2007-08,Sporting Lisbon,sporting-lisbon,17,£17.3,fee,25000000,permanent
2007-07-16-kieran-richardson-out,kieran-richardson,Kieran Richardson,out,2007-07-16,day,2007-08,Sunderland,sunderland,5500000,£5.5m,fee,,permanent
2007-08-03-alan-smith-out,alan-smith,Alan Smith,out,2007-08-03,day,2007-08,Newcastle United,newcastle-united,6000000,£6m,fee,,permanent
2007-08-03-giuseppe-rossi-out,giuseppe-rossi,Giuseppe Rossi,out,2007-08-03,day,2007-08,Villarreal,villarreal,6000000,£6m,fee,,permanent
2007-08-10-carlos-tevez-in,carlos-tevez,Carlos Tevez,in,2007-08-10,day,2007-08,,,,,unknown,,permanent
2007-08-23-gabriel-heinze-out,gabriel-heinze,Gabriel Heinze,out,2007-08-23,day,2007-08,Real Madrid,real-madrid,,£?,unknown,,permanent
2007-08-27-ole-gunnar-solskjaer-out,ole-gunnar-solskj-r,Ole Gunnar Solskjær,out,2007-08-27,day,2007-08,,,,,unknown,,retired
2007-09-16-federico-macheda-in,federico-macheda,Federico Macheda,in,2007-09-16,day,2007-08,,,,,none,,youth
2008-01-01-adam-eckersley-out,adam-eckersley,Adam Eckersley,out,2008-01-01,day,2007-08,Port Vale,port-vale,,£Free,free,,permanent
2008-01-01-fabio-da-silva-in,,Fabio Da Silva,in,2008-01-01,month,2007-08,Fluminense,fluminense,,£??,unknown,,permanent
2008-01-01-manucho-in,manucho,Manucho,in,2008-01-01,month,2007-08,Petro Atletico Luanda,petro-atletico-luanda,,£,unknown,,permanent
2008-01-01-rafael-da-silva-in,,Rafael Da Silva,in,2008-01-01,month,2007-08,Fluminense,fluminense,,£??,unknown,,permanent
2008-01-01-rodrigo-possebon-in,rodrigo-possebon,Rodrigo Possebon,in,2008-01-01,month,2007-08,Internacional,internacional,,£??,unknown,,permanent
2008-01-18-ryan-shawcross-out,ryan-shawcross,Ryan Shawcross,out,2008-01-18,day,2007-08,Stoke City,stoke-city,1000000,£1m + appearances & success of Stoke City,fee,,permanent
2008-01-22-phillip-bardsley-out,,Phillip Bardsley,out,2008-01-22,day,2007-08,Sunderland,sunderland,,£?,unknown,,permanent
2008-03-31-richard-eckersley-in,richard-eckersley,Richard Eckersley,in,2008-03-31,day,2007-08,,,,,none,,youth
2008-05-01-kieran-lee-out,kieran-lee,Kieran Lee,out,2008-05-01,month,2007-08,Oldham Athletic,oldham-athletic,,£Free,free,,permanent
2008-05-27-gerard-pique-out,gerard-pique,Gerard Piqué,out,2008-05-27,day,2007-08,FC Barcelona,fc-barcelona,5000000,£5m,fee,,permanent
2008-06-30-michael-barnes-out,michael-barnes,Michael Barnes,out,2008-06-30,day,2007-08,,,,£Free,free,,permanent
2008-06-30-richie-jones-out,,Richie Jones,out,2008-06-30,day,2007-08,Hartlepool United,hartlepool-united,,£Free,free,,permanent
2008-07-29-chris-eagles-out,chris-eagles,Chris Eagles,out,2008-07-29,day,2008-09,Burnley,burnley,1000000,£1m,fee,,permanent
2008-08-20-mikael-silvestre-out,mikael-silvestre,Mikaël Silvestre,out,2008-08-20,day,2008-09,Arsenal,arsenal,750000,£750,fee,,permanent
2008-09-01-dimitar-berbatov-in,dimitar-berbatov,Dimitar Berbatov,in,2008-09-01,day,2008-09,Tottenham Hotspur,tottenham-hotspur,30750000,£30.75m,fee,,permanent
2008-09-01-louis-saha-out,louis-saha,Louis Saha,out,2008-09-01,day,2008-09,Everton,everton,,£Undisclosed,undisclosed,,permanent
2009-01-01-ritchie-de-laet-in,ritchie-de-laet,Ritchie De Laet,in,2009-01-01,month,2008-09,Stoke City,stoke-city,,£,unknown,,permanent
2009-01-02-zoran-tosic-in,zoran-tosic,Zoran Tošić,in,2009-01-02,day,2008-09,FK Partizan Belgrade,fk-partizan-belgrade,7000000,£7m,fee,,permanent
2009-06-30-antonio-valencia-in,antonio-valencia,Antonio Valencia,in,2009-06-30,day,2008-09,Wigan Athletic,wigan-athletic,16000000,£16m,fee,11000000,permanent
2009-07-01-carlos-tevez-out,carlos-tevez,Carlos Tevez,out,2009-07-01,day,2009-10,Media Sports Investments,media-sports-investments,,,unknown,,loan
2009-07-01-cristiano-ronaldo-out,cristiano-ronaldo,Cristiano Ronaldo,out,2009-07-01,day,2009-10,Real Madrid CF,real-madrid-cf,80000000,£80m,fee,70000000,permanent
